Date,Open,High,Low,Close,Volume,rsi,adx_pos,adx_neg,macd,gdp_indicator
8/24/2007,1462.339966,1479.400024,1460.540039,1479.369995,2541400000,53.01902472,22.10141911,31.13062137,5.356046995,#N/A
8/27/2007,1479.359985,1479.359985,1465.97998,1466.790039,2406180000,49.64230144,21.24635541,29.92623426,5.619739731,#N/A
8/28/2007,1466.719971,1466.719971,1432.01001,1432.359985,3078090000,41.79635398,19.17158561,36.54170322,3.430808834,#N/A
8/29/2007,1432.01001,1463.76001,1432.01001,1463.76001,2824070000,49.61718474,17.49227779,33.34088461,4.012670619,4
8/30/2007,1463.670044,1468.430054,1451.25,1457.640015,2582960000,48.2561746,17.96289815,31.72170768,3.897123743,#N/A
8/31/2007,1457.609985,1481.469971,1457.609985,1473.98999,2731610000,52.04103415,20.44734919,29.57361995,4.775610489,#N/A
9/4/2007,1473.959961,1496.400024,1472.150024,1489.420044,2766600000,55.35962764,23.28475672,27.53294262,6.161494678,#N/A
9/5/2007,1488.76001,1488.76001,1466.339966,1472.290039,2991600000,51.12970643,21.74669644,27.3770897,5.700805249,#N/A
9/6/2007,1472.030029,1481.48999,1467.410034,1478.550049,2459590000,52.55636255,20.84222583,26.23844443,5.586572155,#N/A
9/7/2007,1478.550049,1478.550049,1449.069946,1453.550049,3191080000,46.69385076,19.05521421,29.32279428,3.687805744,#N/A
9/10/2007,1453.5,1462.25,1439.290039,1451.699951,2835720000,46.28240399,17.77682165,30.21324409,2.239032327,#N/A
9/11/2007,1451.689941,1472.47998,1451.689941,1471.48999,3015330000,51.23257788,19.70671424,28.35802493,2.524172658,#N/A
9/12/2007,1471.099976,1479.5,1465.75,1471.560059,2885720000,51.24970724,21.02027185,27.16975355,2.616913447,#N/A
9/13/2007,1471.469971,1489.579956,1471.469971,1483.949951,2877080000,54.30603823,22.96355357,25.64552088,3.364458231,#N/A
9/14/2007,1483.949951,1485.98999,1473.180054,1484.25,2641740000,54.38062839,22.02243474,24.59448658,3.704020074,#N/A
9/17/2007,1484.23999,1484.23999,1471.819946,1476.650024,2598390000,52.06242233,21.11801673,24.03380946,3.257462409,#N/A
9/18/2007,1476.630005,1519.890015,1476.630005,1519.780029,3708940000,61.9703375,29.29362713,20.82792305,5.57163398,#N/A
9/19/2007,1519.75,1538.73999,1519.75,1529.030029,3846750000,63.70303754,33.44409406,19.59243984,7.320022811,#N/A
9/20/2007,1528.689941,1529.140015,1516.420044,1518.75,2957700000,60.40891858,32.07176033,19.8627089,7.359091893,#N/A
9/21/2007,1518.75,1530.890015,1518.75,1525.75,3679460000,61.85536058,31.35722302,19.05889449,7.410742647,#N/A
9/24/2007,1525.75,1530.180054,1516.150024,1517.72998,3131310000,59.18730841,29.85360295,19.03360547,6.492138594,#N/A
9/25/2007,1516.339966,1518.27002,1507.130005,1517.209961,3187770000,59.00957528,28.67773843,21.47311931,5.477387947,#N/A
9/26/2007,1518.619995,1529.390015,1518.619995,1525.420044,3237390000,61.00074672,31.45314445,20.52138583,5.000220059,3
9/27/2007,1527.319946,1532.459961,1525.810059,1531.380005,2872180000,62.42758861,31.77946423,19.97043759,4.730018511,#N/A
